,year,team,record,win%
532,2007-08,Grizzlies,22-60,0.268
533,2006-07,Grizzlies,22-60,0.268
534,2005-06,Grizzlies,49-33,0.598
535,2004-05,Grizzlies,45-37,0.5489999999999999
536,2003-04,Grizzlies,50-32,0.61
537,2002-03,Grizzlies,28-54,0.341
538,2001-02,Grizzlies,23-59,0.28
539,2000-01,Grizzlies,23-59,0.28
540,1999-00,Grizzlies,22-60,0.268
541,1998-99 *,Grizzlies,8-42,0.16
542,1997-98,Grizzlies,19-63,0.23199999999999998
543,1996-97,Grizzlies,14-68,0.171
544,1995-96,Grizzlies,15-67,0.183
545,2017-18,Heat,44-38,0.537
546,2016-17,Heat,41-41,0.5
547,2015-16,Heat,48-34,0.585
548,2014-15,Heat,37-45,0.451
549,2013-14,Heat,54-28,0.659
550,2012-13,Heat,66-16,0.805
551,2011-12 *,Heat,46-20,0.6970000000000001
552,2010-11,Heat,58-24,0.7070000000000001
553,2009-10,Heat,47-35,0.573
554,2008-09,Heat,43-39,0.524
555,2007-08,Heat,15-67,0.183
556,2006-07,Heat,44-38,0.537
557,2005-06,Heat,52-30,0.634
558,2004-05,Heat,59-23,0.72
559,2003-04,Heat,42-40,0.512
560,2002-03,Heat,25-57,0.305
561,2001-02,Heat,36-46,0.439
562,2000-01,Heat,50-32,0.61
563,1999-00,Heat,52-30,0.634
564,1998-99 *,Heat,33-17,0.66
565,1997-98,Heat,55-27,0.6709999999999999
566,1996-97,Heat,61-21,0.7440000000000001
567,1995-96,Heat,42-40,0.512
568,1994-95,Heat,32-50,0.39
569,1993-94,Heat,42-40,0.512
570,1992-93,Heat,36-46,0.439
571,1991-92,Heat,38-44,0.46299999999999997
572,1990-91,Heat,24-58,0.293
573,1989-90,Heat,18-64,0.22
574,1988-89,Heat,15-67,0.183
575,2017-18,Bucks,44-38,0.537
576,2016-17,Bucks,42-40,0.512
577,2015-16,Bucks,33-49,0.402
578,2014-15,Bucks,41-41,0.5
579,2013-14,Bucks,15-67,0.183
580,2012-13,Bucks,38-44,0.46299999999999997
581,2011-12 *,Bucks,31-35,0.47
582,2010-11,Bucks,35-47,0.42700000000000005
583,2009-10,Bucks,46-36,0.561
584,2008-09,Bucks,34-48,0.415
585,2007-08,Bucks,26-56,0.317
586,2006-07,Bucks,28-54,0.341
587,2005-06,Bucks,40-42,0.488
588,2004-05,Bucks,30-52,0.366
589,2003-04,Bucks,41-41,0.5
590,2002-03,Bucks,42-40,0.512
591,2001-02,Bucks,41-41,0.5
592,2000-01,Bucks,52-30,0.634
593,1999-00,Bucks,42-40,0.512
594,1998-99 *,Bucks,28-22,0.56
595,1997-98,Bucks,36-46,0.439
596,1996-97,Bucks,33-49,0.402
597,1995-96,Bucks,25-57,0.305
598,1994-95,Bucks,34-48,0.415
599,1993-94,Bucks,20-62,0.244
600,1992-93,Bucks,28-54,0.341
601,1991-92,Bucks,31-51,0.37799999999999995
602,1990-91,Bucks,48-34,0.585
603,1989-90,Bucks,44-38,0.537
604,1988-89,Bucks,49-33,0.598
605,1987-88,Bucks,42-40,0.512
606,1986-87,Bucks,50-32,0.61
607,1985-86,Bucks,57-25,0.695
608,1984-85,Bucks,59-23,0.72
609,1983-84,Bucks,50-32,0.61
610,1982-83,Bucks,51-31,0.622
611,1981-82,Bucks,55-27,0.6709999999999999
612,1980-81,Bucks,60-22,0.732
613,2017-18,Timberwolves,47-35,0.573
614,2016-17,Timberwolves,31-51,0.37799999999999995
615,2015-16,Timberwolves,29-53,0.354
616,2014-15,Timberwolves,16-66,0.195
617,2013-14,Timberwolves,40-42,0.488
618,2012-13,Timberwolves,31-51,0.37799999999999995
619,2011-12 *,Timberwolves,26-40,0.39399999999999996
620,2010-11,Timberwolves,17-65,0.207
621,2009-10,Timberwolves,15-67,0.183
622,2008-09,Timberwolves,24-58,0.293
623,2007-08,Timberwolves,22-60,0.268
624,2006-07,Timberwolves,32-50,0.39
625,2005-06,Timberwolves,33-49,0.402
626,2004-05,Timberwolves,44-38,0.537
627,2003-04,Timberwolves,58-24,0.7070000000000001
628,2002-03,Timberwolves,51-31,0.622
629,2001-02,Timberwolves,50-32,0.61
630,2000-01,Timberwolves,47-35,0.573
631,1999-00,Timberwolves,50-32,0.61
632,1998-99 *,Timberwolves,25-25,0.5
633,1997-98,Timberwolves,45-37,0.5489999999999999
634,1996-97,Timberwolves,40-42,0.488
635,1995-96,Timberwolves,26-56,0.317
636,1994-95,Timberwolves,21-61,0.256
637,1993-94,Timberwolves,20-62,0.244
638,1992-93,Timberwolves,19-63,0.23199999999999998
639,1991-92,Timberwolves,15-67,0.183
640,1990-91,Timberwolves,29-53,0.354
641,1989-90,Timberwolves,22-60,0.268
642,2017-18,Pelicans,48-34,0.585
643,2016-17,Pelicans,34-48,0.415
644,2015-16,Pelicans,30-52,0.366
645,2014-15,Pelicans,45-37,0.5489999999999999
